#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
202607_at	7.544505	8.602152	7.004914	7.708492	7.66648	7.047397
202608_s_at	6.046826	6.99707	6.203827	6.259063	6.223036	6.17327
202609_at	8.641191	8.739988	8.493537	9.763594	9.022576	8.735288
202610_s_at	6.41957	6.817113	7.696498	6.724634	6.809288	7.612454
202611_s_at	5.208452	6.048315	6.270749	5.908137	6.73748	6.717201
202612_s_at	4.310161	4.180822	4.172476	4.19521	4.192972	4.169629
202613_at	6.698427	6.901342	7.808809	9.340561	8.029674	8.406406
202614_at	7.20351	7.872039	7.752431	7.692114	7.580525	7.593889
202615_at	9.7874	9.281575	9.675126	9.582945	9.401609	9.168196
202616_s_at	7.498427	7.471125	6.887626	7.818526	7.985198	7.211725
202617_s_at	6.612399	6.468097	5.560912	6.659751	6.747714	5.662044
202618_s_at	7.249112	7.112935	7.207239	7.135204	7.144164	7.029048
202619_s_at	7.094391	6.917638	7.929005	7.491704	7.262994	8.126786
202620_s_at	8.446919	8.364718	9.264353	8.204488	8.946051	8.574795
202621_at	8.310669	8.371438	8.390103	8.836751	8.732479	8.369034
202622_s_at	7.994364	7.734652	7.559137	8.209829	7.774485	7.668888
202623_at	7.902532	8.138797	7.431463	8.192732	7.658304	7.389071
202624_s_at	7.647625	7.545489	7.424387	7.881178	7.564528	7.375565
202625_at	6.096265	6.622416	8.235126	6.550389	6.812548	7.319114
202626_s_at	8.029305	8.692149	9.763338	8.67495	8.770638	9.041143
202627_s_at	6.638717	6.98706	7.138729	7.721502	7.338205	7.306609
202628_s_at	6.614309	6.91099	7.055884	7.529029	7.456691	7.881481
202629_at	8.007252	7.763716	8.501211	7.869137	7.565232	8.151749
202630_at	8.095051	7.250019	8.172253	7.354587	6.976072	7.382509
202631_s_at	5.898178	5.398659	6.720352	5.589932	5.293739	5.915504
202632_at	8.191151	8.242865	8.111953	8.347587	8.211559	8.270326
202633_at	7.949803	8.479983	9.131719	7.381057	8.97801	8.243572
202634_at	7.400014	8.173514	7.367954	8.868025	7.773505	8.129736
202635_s_at	8.580512	9.407619	8.753225	10.389773	8.962346	9.924981
202636_at	9.588457	9.205258	9.349704	9.386911	9.176534	8.671891
202637_s_at	8.148243	8.043745	8.953672	7.987536	8.110923	8.657718
202638_s_at	6.656493	7.043446	8.39418	6.619179	6.799717	7.975302
202639_s_at	7.397111	6.930998	7.327888	7.042971	6.946526	7.401479
202640_s_at	7.801092	7.779703	8.027591	7.720258	7.518096	7.763641
202641_at	6.589812	7.876146	7.506231	7.83629	7.524609	6.644609
202642_s_at	7.735191	8.528251	9.054938	8.488589	9.285939	8.213954
202643_s_at	7.083595	7.515057	7.945991	7.791513	7.628167	8.380133
202644_s_at	8.58488	9.189969	9.669308	9.541192	9.256961	9.715024
202645_s_at	8.073552	8.835888	8.629708	8.801135	8.07939	8.611654
202646_s_at	9.85991	9.788357	10.188144	9.729656	10.650522	10.032791
202647_s_at	6.214793	7.910416	8.413074	7.341934	8.390654	7.077303
202648_at	6.875921	6.631814	7.207671	7.075139	7.558938	6.520971
202649_x_at	12.705908	12.510641	12.361741	12.997468	12.798231	13.621125
202650_s_at	7.773753	7.453779	7.243541	8.415149	7.389552	7.427813
202651_at	7.458397	7.945452	9.407358	7.381932	8.139776	7.945198
202652_at	6.901087	6.798527	6.705767	7.071417	6.747822	6.603549
202653_s_at	7.57156	7.706036	8.30165	7.630468	8.064382	8.096306
202654_x_at	5.69822	6.089627	7.006758	5.970289	6.352407	7.212867
202655_at	8.399605	9.139515	9.447343	9.353712	9.004619	9.639281
202656_s_at	8.407577	8.236653	9.549089	8.710323	9.044629	9.575028
202657_s_at	8.108685	8.252957	9.541116	8.39385	9.031162	9.437728
202658_at	8.093016	8.888265	8.481663	8.238755	8.860803	8.515215
202659_at	7.143083	8.45004	8.65166	7.569757	7.945059	7.939877
202660_at	6.051441	6.938857	6.076495	6.362248	7.681955	6.268707
202661_at	5.115208	5.985141	5.145279	5.574438	7.43136	5.291468
202662_s_at	6.552488	6.986792	6.604607	6.811577	8.199463	7.03224
202663_at	3.952878	5.299126	5.257326	4.97162	4.663972	4.755748
202664_at	7.784082	8.375234	8.588499	8.127133	8.26467	7.41342
202665_s_at	6.864463	7.355991	7.84965	7.3136	7.259481	7.406935
202666_s_at	6.700567	7.507162	7.089515	6.328284	7.661032	7.005753
202667_s_at	7.054692	7.725082	7.909218	7.192345	7.203515	6.863469
202668_at	8.25128	7.331201	7.92587	7.433122	8.135529	7.808756
202669_s_at	6.761154	5.9941	6.011737	6.419595	5.859652	6.400569
202670_at	8.321621	8.299058	8.822231	8.708303	8.808902	9.090167
202671_s_at	7.977539	8.1238	9.290217	8.566099	7.395349	9.388412
202672_s_at	7.293916	8.481282	9.848739	8.637475	8.064061	8.602844
202673_at	8.25182	9.268905	9.059575	8.617967	9.118585	9.568543
202674_s_at	4.2758	4.39475	4.451618	4.426048	4.428325	4.336278
202675_at	7.02676	7.525735	8.335299	7.392512	7.710745	7.99042
202676_x_at	8.156513	8.768944	8.864554	8.543139	9.022544	8.390012
202677_at	9.143853	9.567617	9.638171	9.082377	9.304703	8.599337
202678_at	8.437111	8.714855	9.438719	8.93134	8.728005	9.481336
202679_at	8.309122	8.652043	8.80913	8.31655	8.457881	9.102742
202680_at	7.854404	8.254597	8.671746	8.82405	8.271782	8.980754
202681_at	8.411289	8.755973	8.865591	8.839577	9.051215	8.454572
202682_s_at	8.744921	8.931805	8.793051	9.313229	9.145078	8.73894
202683_s_at	7.681134	7.911891	7.905437	9.051582	8.009918	8.469526
202684_s_at	3.955237	4.057803	4.241109	4.723677	3.983961	4.508228
202685_s_at	7.451323	7.469948	7.170723	7.426973	7.434608	7.366876
202686_s_at	8.366212	9.022456	8.763686	8.858783	8.493135	8.200035
202687_s_at	8.606768	10.04127	8.551835	7.797742	8.115271	8.80067
202688_at	9.659986	11.463896	10.32905	9.09067	10.14284	10.649307
202689_at	8.539152	8.68317	8.826072	8.438208	8.168729	9.008644
202690_s_at	7.685506	8.497034	8.944945	8.713261	8.580605	9.573935
202691_at	5.873221	6.960208	6.626839	7.738328	7.249692	7.189249
202692_s_at	6.838602	7.346129	7.094603	7.529094	6.82848	7.168737
202693_s_at	8.150453	8.489556	8.797045	8.147854	7.885039	8.664229
202694_at	4.733955	4.712899	4.40035	4.626422	4.681387	4.23065
202695_s_at	7.104498	7.214655	6.970248	7.131258	7.171033	6.89213
202696_at	8.190411	8.150777	8.916325	8.338945	8.378497	9.231488
202697_at	6.77328	7.480563	8.314179	6.378288	7.177756	8.76777
202698_x_at	11.707837	11.644513	12.610356	11.368564	12.212782	12.248883
202699_s_at	7.243708	7.521128	7.152943	7.339753	7.14504	6.969437
202700_s_at	7.058504	7.218997	7.107589	7.365842	7.040385	6.437018
202701_at	8.016649	7.462579	7.660539	7.598011	7.831937	7.443219
202702_at	8.853596	8.773045	8.867388	8.853197	8.778928	8.771219
202703_at	7.957236	7.825075	8.338788	7.874948	8.578825	8.396011
202704_at	10.793956	9.401938	9.753025	9.996334	8.700239	9.655269
202705_at	7.976667	7.750756	9.424236	8.164923	8.876984	9.70619
202706_s_at	7.702963	8.195989	7.776666	7.066244	8.342226	8.445681
202707_at	6.642109	6.334047	6.039924	6.191139	6.591821	6.413268
202708_s_at	7.276883	8.779127	7.837276	9.655865	8.513976	7.966881
202709_at	8.615234	8.65981	8.541137	8.398377	9.786109	7.754567
202710_at	7.825377	8.586393	8.914629	8.175396	9.247522	8.312926
202711_at	6.093149	5.915592	5.789071	6.191924	5.967189	5.896983
202712_s_at	6.384749	6.606096	6.592879	8.504484	6.418634	7.355383
202713_s_at	8.121784	7.931782	8.166656	8.514802	8.060183	8.247623
202714_s_at	6.003479	5.771246	5.746803	5.869438	5.944403	5.805808
202715_at	8.48603	7.436172	8.135378	8.198484	8.891858	8.746912
202716_at	8.26928	8.773809	8.024126	8.569512	8.147047	8.67285
202717_s_at	7.615768	8.322874	8.598313	7.899517	9.099431	8.454519
202718_at	7.577153	9.379214	5.946375	8.310724	6.066398	9.479646
202719_s_at	8.748502	8.864677	9.54894	9.109212	9.566633	9.386365
202720_at	8.371897	8.676312	9.471163	8.497603	9.552147	9.291354
202721_s_at	8.381799	7.902037	8.921469	7.755729	8.260859	8.748604
202722_s_at	9.266212	8.630629	9.67539	8.62325	9.442965	8.782777
202723_s_at	8.674952	8.112241	8.263706	8.436276	8.68242	8.046827
202724_s_at	7.636138	7.31843	7.273818	7.395856	7.710124	6.800412
202725_at	8.060876	7.990051	8.351264	8.633566	8.155708	8.010809
202726_at	7.698663	7.60528	7.077225	7.63403	7.717976	7.673405
202727_s_at	9.019143	9.099566	9.819528	8.739353	8.882455	9.305704
202728_s_at	7.688817	6.997498	8.58942	8.814092	7.182109	8.400852
202729_s_at	8.269654	7.731787	9.890285	9.13161	8.812128	8.862975
202730_s_at	6.870131	7.391776	6.959708	7.597772	6.925784	7.024175
202731_at	5.391593	6.955831	5.63985	7.357856	6.429043	6.301154
202732_at	8.195471	8.309993	8.466634	8.580429	9.425533	8.140213
202733_at	8.646134	8.926239	9.260963	7.912881	8.776612	8.957379
202734_at	8.147687	7.851	8.659691	7.817049	7.748421	8.099393
202735_at	7.689921	8.228661	7.969625	7.962506	7.45992	7.582746
202736_s_at	6.388804	8.22606	7.965819	7.592764	7.788764	8.75653
202737_s_at	8.288871	9.032644	9.255723	8.609489	10.03854	9.225478
202738_s_at	7.900804	7.691317	8.811734	8.272076	8.67545	7.789153
202739_s_at	6.525077	6.362232	7.027944	6.901259	7.499278	6.03319
202740_at	7.96278	7.719221	7.56221	8.419567	8.371272	7.89778
202741_at	8.559318	8.864215	9.7579	9.383542	8.224241	9.10522
202742_s_at	6.011517	6.137238	7.269354	6.807057	5.963937	6.795498
202743_at	8.398061	10.06208	9.033656	10.244335	8.719512	9.011672
202744_at	6.260052	6.936502	7.30694	6.36771	6.573571	6.968828
202745_at	6.705307	7.265678	7.459974	7.273438	6.849354	6.954595
202746_at	6.955323	7.045242	7.515511	7.247851	6.290535	6.83543
202747_s_at	8.143149	7.97158	8.123408	8.184402	7.850387	7.938743
202748_at	8.292496	9.660829	9.187065	9.122373	8.0508	9.552072
202749_at	8.171629	8.668313	8.602746	8.968145	8.368608	8.65507
202750_s_at	7.712963	7.920054	7.589593	7.81418	7.64908	8.156314
202751_at	6.079421	6.222019	6.179555	6.359675	6.099538	6.271115
202752_x_at	8.309248	8.833674	8.552765	9.211104	8.214088	7.922694
202753_at	8.536478	9.332442	9.421389	9.593076	10.318579	9.347218
202754_at	8.06946	8.414658	9.252997	8.612658	9.111398	8.711123
202755_s_at	5.967617	5.849106	5.728803	5.865224	5.516629	5.618449
202756_s_at	8.7534	8.945918	8.437284	9.106327	8.297882	8.121764
202757_at	7.954559	8.023566	9.414659	8.343636	8.324821	8.160627
202758_s_at	7.543832	8.483303	8.15855	7.415682	9.628222	7.751478
202759_s_at	9.065056	8.725082	9.709709	8.967974	8.664015	9.506372
202760_s_at	7.267759	6.869765	8.13469	8.098904	6.945754	7.704188
202761_s_at	8.6076	7.93303	8.767141	8.269035	7.491375	8.2724
202762_at	7.906486	7.255444	8.015265	7.670849	8.160968	7.705679
202763_at	6.947914	6.689521	7.178025	6.877852	7.31783	7.040189
202764_at	7.409938	7.616886	8.247632	7.615615	7.664955	7.737758
202765_s_at	8.462979	8.663174	8.591067	8.508895	8.761958	8.26963
202766_s_at	10.75857	11.045961	10.64272	10.808814	10.798414	10.209705
202767_at	8.646543	8.841889	8.76699	8.565542	8.167665	8.794808
202768_at	7.184068	7.410425	7.446761	8.698174	7.241344	7.133329
202769_at	8.892317	8.407471	8.766086	8.432903	8.528281	8.14931
202770_s_at	8.100242	8.363941	8.995956	7.870377	7.916679	8.622606
202771_at	9.65484	8.889331	9.982886	8.821541	9.911743	9.577408
202772_at	8.613813	8.503162	8.509741	8.713441	8.667169	8.356184
202773_s_at	6.609651	6.278142	6.262263	6.601626	6.238447	6.571019
202774_s_at	9.052375	8.274492	8.376712	8.653665	8.584599	8.311565
202775_s_at	8.014023	7.424254	7.24124	7.746098	7.844627	6.907104
202776_at	8.783464	9.30837	9.552545	9.108566	8.962041	9.401991
202777_at	7.816381	8.177996	8.632471	8.911457	8.479421	7.890394
202778_s_at	8.303996	8.670662	8.630955	8.439908	8.942321	8.418884
202779_s_at	8.004294	8.565025	9.104853	9.091497	8.914909	9.192694
202780_at	8.388141	7.372964	8.617062	7.274602	8.408541	8.881069
202781_s_at	7.538847	7.367368	7.102204	7.36695	7.409081	7.195353
202782_s_at	8.30908	8.19947	7.83767	8.014416	8.146656	7.565024
202783_at	5.243624	5.420983	6.873207	5.698345	5.958554	6.330362
202784_s_at	5.436393	5.544458	6.745831	6.005533	5.951125	6.794818
202785_at	7.926017	8.504253	8.956006	8.317215	7.380337	8.202037
202786_at	8.132002	8.36985	7.062524	8.044705	6.181725	7.561793
202787_s_at	6.208926	6.591874	6.542469	6.44278	6.543403	6.375782
202788_at	8.540608	8.59537	8.483027	9.694194	8.924384	8.897288
202789_at	7.932915	8.084157	8.523132	8.022976	7.999349	8.004163
202790_at	8.506984	8.8593	9.78079	9.355167	9.278024	9.136463
202791_s_at	7.24634	7.04296	7.027626	7.131001	7.062594	6.996506
202792_s_at	6.394669	6.568007	6.209804	6.511011	6.404122	6.187385
202793_at	7.175219	6.724712	6.42653	6.48586	7.525779	6.187421
202794_at	8.008311	7.532974	8.11318	7.596189	7.435115	8.082943
202795_x_at	9.191637	8.707754	8.354268	8.708194	8.668525	8.460634
202796_at	7.420032	7.310173	7.134074	7.444928	7.695552	6.608886
202797_at	7.773366	8.158524	8.617193	8.605726	8.231016	8.149365
202798_at	8.129972	8.096533	9.128414	8.63279	8.527435	9.067532
202799_at	8.161154	7.70389	8.474287	8.11559	7.88979	8.278431
202800_at	7.185983	7.835377	8.467614	7.454079	7.103095	7.740131
202801_at	8.757113	8.611009	8.433604	8.341608	9.086198	8.21143
202802_at	6.820852	7.731293	6.937077	6.578561	6.715922	6.18055
202803_s_at	8.429269	8.837439	9.016346	9.037223	8.916584	9.590165
202804_at	8.2088	8.464256	8.135221	8.884952	9.189935	8.920222
202805_s_at	6.881514	7.015412	6.889261	7.134427	7.437576	7.545851
202806_at	7.563598	8.498684	8.627723	8.351055	8.429633	7.690469
202807_s_at	6.928609	7.091563	7.048508	6.984276	6.896612	6.914749
202808_at	8.849781	9.76473	9.012301	9.418358	9.313346	8.151565
202809_s_at	8.73664	8.995624	9.045884	8.902633	9.016647	8.935732
202810_at	9.620136	9.671346	10.065417	9.924359	9.736791	10.898444
202811_at	7.763402	7.819547	8.264087	8.23634	8.410105	8.299724
202812_at	8.428906	8.558981	9.480801	9.253003	8.338343	8.456924
202813_at	9.161321	8.702781	8.88484	8.917991	9.474173	9.396116
202814_s_at	7.295337	7.91116	7.171968	8.197945	7.142441	7.032262
202815_s_at	7.335488	7.616246	6.674746	7.876518	7.045103	6.849967
202816_s_at	5.281016	6.32823	5.967241	6.129552	5.686476	7.827876
202817_s_at	4.605765	5.649998	5.336671	4.761897	4.903578	6.132141
202818_s_at	7.81859	7.234562	7.297575	8.142897	7.250323	7.358837
202819_s_at	7.27577	7.257612	8.079596	7.009086	7.229357	7.460595
202820_at	7.099338	7.839538	7.811744	7.184808	6.289267	6.784055
202821_s_at	7.044639	6.991316	6.613315	6.873041	6.82544	7.54643
202822_at	9.453967	10.108384	9.183456	9.404605	10.239033	9.208685
202823_at	4.148984	5.039551	4.277162	5.624964	4.444649	4.623651
202824_s_at	9.257231	10.08704	9.576299	10.444604	9.464942	10.091662
202825_at	7.504458	7.391776	7.374958	7.604944	7.911434	6.530849
202826_at	8.905684	8.678914	9.208979	8.65558	8.665859	8.291501
202827_s_at	8.277727	8.386611	8.532139	7.944672	8.031172	8.113866
202828_s_at	8.64848	8.561975	8.868767	8.287737	8.529749	8.132415
202829_s_at	8.135691	9.093686	8.976802	8.943596	8.656136	8.622599
202830_s_at	8.093065	7.870814	7.786968	7.970664	8.326768	8.59728
202831_at	8.369525	7.715449	7.347689	7.6359	7.763333	7.88706
202832_at	7.837509	7.731851	8.332342	7.744671	7.803658	7.878595
202833_s_at	7.440513	6.865364	6.858549	6.993116	6.377875	8.103339
202834_at	6.455275	8.409216	9.666631	6.373379	6.305484	6.622528
202835_at	7.045764	6.675514	6.978238	7.088746	7.236297	7.167615
202836_s_at	9.256125	8.985925	9.870559	9.479458	9.875421	10.127324
202837_at	7.441141	7.505721	7.329129	7.599023	7.525349	7.686332
202838_at	9.029664	9.29555	8.875892	8.485115	8.542242	8.285086
202839_s_at	7.303777	7.580504	7.523868	6.523796	7.56202	6.833343
202840_at	7.137994	6.486027	6.839945	7.062959	6.74251	6.996613
202841_x_at	8.3357	8.408142	8.346612	8.277969	8.141117	8.446361
202842_s_at	7.826567	9.214803	9.00478	8.960951	9.13708	8.923598
202843_at	4.108804	5.267546	5.112504	5.252292	5.451398	5.411926
202844_s_at	8.315462	8.72735	8.5724	9.910457	8.094824	8.904231
202845_s_at	8.111149	8.583386	8.909552	9.617	8.587316	9.48871
202846_s_at	8.80963	9.321489	9.847734	9.077874	9.508049	9.270313
202847_at	8.025812	7.777167	7.39388	8.745698	7.580509	7.608466
202848_s_at	7.847328	8.119818	7.65689	8.332356	8.062221	7.930826
202849_x_at	8.714408	8.586635	8.394204	8.596042	8.547589	8.297442
202850_at	8.140244	9.972524	8.934766	9.686308	8.673003	8.820678
202851_at	7.402264	7.53323	7.058789	7.666746	7.116696	7.160286
202852_s_at	6.942235	7.701195	7.618802	7.73929	7.042825	8.079337
202853_s_at	7.91863	8.408142	8.743069	7.331316	9.143545	8.923727
202854_at	8.700114	9.493271	9.100783	9.455227	9.608043	9.849621
202855_s_at	5.986999	5.829232	7.239413	6.074159	6.168583	7.7683
202856_s_at	8.066386	7.847275	9.435131	8.374506	8.347489	9.509257
202857_at	10.248943	10.062022	10.11572	9.989018	9.719881	10.567405
202858_at	10.985193	11.182753	11.275027	11.588841	10.49447	11.558074
202859_x_at	9.917865	6.004837	7.09551	6.292505	6.72134	6.806023
202860_at	8.795876	8.343818	8.349397	8.777339	8.608422	8.655364
202861_at	7.040037	7.145648	6.877195	6.739685	7.411263	7.355554
202862_at	7.098215	7.927821	7.239577	7.691697	6.269049	7.51856
202863_at	6.84139	7.588073	8.308542	7.10685	7.19403	7.749394
202864_s_at	7.370763	7.662876	8.445484	7.79609	7.571562	7.813746
202865_at	4.658649	4.737688	4.453086	4.715174	4.62423	4.756671
202866_at	8.618335	8.935323	8.871716	8.843637	8.876841	8.722947
202867_s_at	8.021524	8.446644	8.615986	8.499481	8.15527	7.954808
202868_s_at	8.083421	8.762427	9.722922	8.001462	8.501928	8.937484
202869_at	7.536372	8.38328	8.978786	7.707748	7.187044	8.265439
202870_s_at	8.048983	8.036283	9.853183	9.696574	8.746767	10.227363
202871_at	8.269499	7.37437	7.632127	8.045723	7.526171	6.651879
202872_at	6.729639	8.051376	7.564359	8.604513	7.372801	8.22256
202873_at	5.899902	5.90066	5.883334	6.020545	5.955199	6.121075
202874_s_at	7.084146	8.619001	7.909626	9.028152	7.168277	9.01683
202875_s_at	7.059596	7.50352	7.327832	7.084594	7.680868	6.863495
202876_s_at	8.896194	8.795644	8.448586	8.663754	8.878457	8.605313
202877_s_at	7.993914	7.543546	7.628291	8.192998	8.107892	7.779264
202878_s_at	9.774497	9.151663	9.348821	9.890056	9.870855	8.996691
202879_s_at	7.1671	7.010621	7.048074	7.078991	6.973189	7.156938
202880_s_at	7.337602	6.747172	8.176773	7.394363	7.147324	7.52348
202881_x_at	5.835292	5.5777	5.808305	5.706924	5.44793	5.532698
202882_x_at	9.237962	9.56113	9.903322	9.740602	9.552858	9.675219
202883_s_at	7.879978	7.679293	8.674896	7.283128	7.637585	8.932446
202884_s_at	7.222462	6.600431	7.313007	6.70439	6.85463	7.58222
202885_s_at	6.426974	6.407169	6.195738	6.33078	6.361715	6.405018
202886_s_at	6.712651	6.067719	7.360035	5.625168	6.265056	7.647797
202887_s_at	8.741431	9.088539	10.364219	8.964325	10.079134	11.165484
202888_s_at	4.938474	5.67649	6.292638	6.022913	6.171077	6.413091
202889_x_at	7.186154	7.022549	6.590498	6.928006	7.002713	7.296478
202890_at	7.490998	7.937472	6.570215	7.520836	7.600137	7.56045
202891_at	8.482816	9.025462	8.467433	8.484634	8.744554	8.932886
202892_at	6.531422	7.840227	7.622208	7.125942	7.723956	7.249778
202893_at	8.331309	8.092226	7.938681	7.900791	7.553	8.612401
202894_at	8.048749	7.877799	8.401745	7.814837	8.814448	7.804429
202895_s_at	6.768998	6.660416	7.056676	6.649063	6.648672	6.524892
202896_s_at	7.052375	7.065839	8.16566	7.2095	7.469002	7.413116
202897_at	7.756676	8.16877	9.507234	7.990473	8.281321	8.634477
202898_at	7.558654	7.916683	7.48602	7.392111	7.516153	7.288893
202899_s_at	8.835288	9.036305	9.580567	9.255908	8.649463	10.319495
202900_s_at	6.696359	6.837963	7.927113	7.276344	7.749187	7.554542
202901_x_at	4.746813	5.039419	5.248024	4.269427	4.616154	5.405559
202902_s_at	7.929375	9.057982	9.480232	8.437427	8.159449	10.353554
202903_at	6.142552	6.612188	6.305431	6.533274	7.176381	6.61986
202904_s_at	5.091697	4.660858	5.607412	4.003931	4.561354	4.222708
202905_x_at	9.706681	10.057728	8.943809	11.261927	9.438916	9.972841
202906_s_at	7.883468	8.240787	7.613066	8.411616	7.289493	8.710508
202907_s_at	9.173802	10.173435	9.025037	10.444253	9.94416	10.232093
202908_at	8.569463	9.212114	8.061387	9.4015	7.925559	7.018984
202909_at	8.863526	8.583163	8.066645	9.026406	8.198471	8.864585
202910_s_at	7.574437	7.383617	8.185868	7.751767	7.812528	8.180419
202911_at	8.420459	8.441546	9.187643	8.593785	9.52382	9.600837
202912_at	8.757645	7.993417	9.173813	7.386031	8.342069	10.658627
202913_at	7.372765	7.587432	7.743961	7.520515	7.90924	7.569007
202914_s_at	5.933799	6.092278	6.105821	6.182442	6.278581	6.423436
202915_s_at	7.022093	7.530274	7.98546	7.338701	7.665033	7.449293
202916_s_at	7.515465	7.980915	8.180904	7.832208	8.32529	7.508653
202917_s_at	8.09733	7.8586	11.265316	7.746199	10.580696	9.117778
202918_s_at	7.799792	8.321896	8.927597	7.971176	8.36623	8.957869
202919_at	8.736974	9.042185	8.890428	8.968862	9.464386	8.875319
202920_at	5.82339	5.456082	5.532169	6.327509	5.793827	5.852403
202921_s_at	6.216004	5.695696	5.841855	5.883124	5.587068	5.463773
202922_at	6.538974	6.974404	7.128561	7.217251	7.136728	7.057112
202923_s_at	7.181676	7.767691	8.008757	8.119502	7.570773	8.032205
202924_s_at	6.473129	6.284762	6.494903	6.259373	6.504803	6.351005
202925_s_at	7.034211	6.985395	7.259197	6.950336	7.602686	7.105234
202926_at	7.913287	7.921588	8.279172	7.936358	7.86114	7.788638
202927_at	7.642832	7.617802	7.830854	8.369275	8.384262	7.415998
202928_s_at	6.798424	7.079882	6.768666	6.959396	7.034794	6.490907
202929_s_at	7.251562	7.32888	7.627123	7.41501	6.729372	7.878792
202930_s_at	7.138261	7.543383	7.989041	7.557239	8.627007	7.66236
202931_x_at	7.525392	7.476454	8.278293	7.211864	7.372411	7.922272
202932_at	7.761362	8.134361	8.877107	8.595162	8.749989	9.0825
202933_s_at	7.485404	7.539223	8.04123	7.798282	7.733007	8.268944
202934_at	8.087178	7.316598	7.451613	7.830354	7.899362	8.350613
202935_s_at	9.916995	9.833751	10.589697	9.286947	10.689724	10.064615
202936_s_at	9.367766	9.714432	10.840361	8.724614	10.622211	10.618043
202937_x_at	7.147759	7.487616	7.706991	7.165546	6.627768	8.272254
202938_x_at	7.186053	6.903071	7.000574	7.045787	6.934487	7.170143
202939_at	9.446319	9.811195	10.240681	10.95357	9.552989	9.54539
202940_at	6.370107	6.177788	5.846072	6.257969	7.048208	6.126476
202941_at	9.625088	10.679515	9.847913	10.965332	9.679126	9.437789
202942_at	8.944241	7.884055	8.284643	8.056185	8.511655	8.12803
202943_s_at	7.525928	7.512122	7.644011	7.512185	7.494739	7.912012
202944_at	7.916716	7.970911	7.92591	7.911742	7.698661	8.048172
202945_at	7.895037	7.662317	8.220816	7.69964	7.736128	8.164841
202946_s_at	8.04529	7.598448	8.852554	7.816584	6.951662	8.051401
202947_s_at	8.710387	8.26047	8.139244	8.219116	8.083754	8.069716
202948_at	8.754128	8.745368	9.51881	8.961706	8.712652	8.440091
202949_s_at	9.468724	9.960563	10.555367	9.483553	9.188865	9.68737
202950_at	6.892527	9.493466	8.916919	8.510625	8.035054	7.876782
202951_at	8.194244	8.634178	9.706966	8.582606	9.274423	9.25436
202952_s_at	7.839071	8.490098	8.638932	7.923674	8.304485	7.275675
202953_at	8.827522	9.436384	9.805797	9.215782	8.106918	10.279324
202954_at	8.833477	9.133587	10.199912	9.758454	9.873455	10.013008
202955_s_at	7.555495	8.402593	8.006526	9.405612	7.784493	8.606343
202956_at	8.43485	9.348234	8.809019	10.542224	9.2563	9.21099
202957_at	7.449029	7.789317	8.183087	8.021131	7.804972	7.963841
202958_at	8.081737	7.946249	8.411845	8.08747	8.17417	8.120871
202959_at	6.834082	7.04924	7.200692	7.35434	7.324341	6.91617
202960_s_at	8.258648	8.637459	8.80182	8.757081	8.167124	8.235876
202961_s_at	10.021819	11.022907	11.43993	10.902634	11.237994	11.097442
202962_at	8.686889	8.507925	6.797014	8.901575	7.4177	6.727328
202963_at	7.23999	8.851954	8.424222	8.405167	8.486704	9.080433
202964_s_at	7.878649	8.043492	7.942585	8.344436	8.047214	8.752431
202965_s_at	5.837039	5.311532	10.512294	5.531847	6.233511	9.250201
202966_at	4.952133	4.89739	7.020083	4.892492	4.93218	5.778194
202967_at	7.602565	7.96272	9.044324	8.288562	9.519671	9.350801
202968_s_at	7.623554	7.576108	8.125851	7.479793	7.512004	7.743911
202969_at	6.190361	6.248745	7.225314	7.118932	7.138174	7.340701
202970_at	6.921033	6.561773	6.580188	6.665614	6.722362	6.849239
202971_s_at	6.798896	6.737741	7.179398	7.427033	6.692236	7.05989
202972_s_at	8.269472	7.040694	7.805033	7.094944	7.184176	7.271429
202973_x_at	8.5363	6.820199	9.219105	6.695988	7.636669	7.506587
202974_at	7.676312	7.935324	8.254906	8.139466	7.744717	8.183662
202975_s_at	8.13009	9.644326	7.623628	7.694994	7.334458	7.879083
202976_s_at	7.088207	9.002073	6.66227	6.252578	6.536539	6.818764
202977_s_at	5.139317	4.995977	5.327395	5.095018	5.2031	5.220627
202978_s_at	6.695391	7.585836	7.229397	6.602525	6.579275	6.641673
202979_s_at	5.148334	6.399402	6.235866	5.152486	5.23368	5.493981
202980_s_at	4.775446	4.896165	5.179763	4.976898	4.983952	5.012753
202981_x_at	9.1701	8.892301	9.202612	8.86363	9.725315	8.864071
202982_s_at	7.611599	7.220685	6.752592	8.057737	6.938109	6.871314
202983_at	8.6363	8.83648	8.997267	8.569261	9.110094	8.981878
202984_s_at	6.328477	6.178146	5.877794	6.675123	6.071614	5.68021
202985_s_at	8.754544	9.207849	8.930652	9.051216	9.439792	8.63175
202986_at	5.791528	7.716046	5.490592	7.326482	6.759243	7.83553
202987_at	4.153274	4.092608	4.262284	4.002129	4.197798	3.975168
202988_s_at	5.103689	6.089219	7.905289	7.226603	6.993502	7.565108
202989_at	3.578849	3.759611	3.785424	3.743533	3.767658	3.834642
202990_at	6.637439	7.100813	7.320393	7.457603	6.256557	7.373587
202991_at	8.483182	6.623882	6.759808	7.051486	7.204365	6.538027
202992_at	6.258175	5.710604	5.855596	6.332854	5.944804	5.545704
