#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
AFFX-r2-Hs28SrRNA-3_at	6.075129	5.858825	5.8991	6.456641	5.437401	5.771343
AFFX-r2-Hs28SrRNA-M_at	6.168387	5.658236	5.917683	6.119833	5.80537	5.545885
AFFX-r2-Hs28SrRNA-5_at	4.476681	4.515337	4.332541	4.719596	4.357073	4.583229
200000_s_at	8.99756	9.419555	9.659885	9.673871	10.639777	9.329783
200001_at	10.33919	10.493767	10.040281	11.131767	11.056548	10.401918
200002_at	11.32406	11.15886	11.751505	11.129887	10.770276	11.673352
200003_s_at	12.482699	12.389135	12.167738	12.735029	12.274971	12.362708
200004_at	10.754666	11.001021	11.601791	11.164008	10.940925	11.607694
200005_at	9.46509	9.651686	9.909597	9.902545	9.879081	10.008711
200006_at	10.538793	11.337277	11.714593	10.656827	11.414534	11.264617
200007_at	10.509529	10.859225	10.724575	10.832922	10.124232	10.365606
200008_s_at	8.076235	8.309415	9.738675	8.578464	8.774973	9.923964
200009_at	10.059095	9.907935	11.108424	10.529922	10.904461	10.863738
200010_at	11.638139	11.368721	11.719505	11.164991	11.619729	11.589931
200011_s_at	9.793575	10.603015	9.508799	10.575024	9.805494	9.937294
200012_x_at	11.665573	11.775887	11.969987	12.020442	12.300812	12.043569
200013_at	11.446323	12.118237	11.610981	11.525318	11.973731	12.033299
200014_s_at	9.276883	10.080987	10.281461	10.279214	9.884773	10.150255
200015_s_at	10.026597	10.634194	10.829111	10.635128	10.851208	10.274993
200016_x_at	11.400188	11.848213	11.607559	11.899175	11.974741	11.508087
200017_at	11.520757	11.024214	11.333067	11.372358	11.674629	11.809342
200018_at	11.926409	12.291836	12.506528	12.37884	11.987567	12.610054
200019_s_at	11.473071	12.312552	11.695661	11.930218	11.127885	11.806902
200020_at	9.091751	9.775524	10.422825	9.904473	9.689933	10.290745
200021_at	12.640094	13.251724	13.306207	13.292674	13.113689	13.23331
200022_at	11.60603	11.945685	11.457781	12.246164	12.061266	11.876904
200023_s_at	9.746845	10.124445	10.709709	10.452527	10.044996	10.85938
200024_at	11.421827	11.224968	11.34752	11.980095	11.747396	12.028876
200025_s_at	12.107316	12.214873	12.319681	12.514054	12.121028	12.629683
200026_at	11.903644	11.702377	12.05251	11.816284	11.752598	11.726549
200027_at	9.835228	10.023261	10.326826	10.927785	10.776872	10.806769
200028_s_at	10.141862	10.632859	10.905651	11.014743	11.026324	10.992074
200029_at	13.762386	12.350711	12.141724	12.824285	13.302062	12.557649
200030_s_at	11.254939	10.99725	10.98433	11.314105	11.52613	11.716477
200031_s_at	12.597089	12.558097	12.273133	12.937495	12.632669	12.828436
200032_s_at	12.36092	12.2717	12.388045	12.508166	12.338029	12.099697
200033_at	11.011291	10.473009	11.147114	10.832875	10.320813	10.835772
200034_s_at	11.649454	11.186088	11.121112	11.644782	11.886517	11.538645
200035_at	8.800901	9.04168	9.495339	9.419279	9.373165	9.138401
200036_s_at	10.775798	11.240098	11.371476	11.189358	11.798349	11.656659
200037_s_at	9.95239	10.324678	10.496676	10.110481	9.843843	10.357073
200038_s_at	11.24179	11.170739	11.553285	11.788528	11.586018	12.400493
200039_s_at	9.548199	9.865209	11.221217	9.743354	10.311054	11.040702
200040_at	9.631417	10.131062	10.69473	9.916084	10.248546	10.491033
200041_s_at	10.834039	10.565221	10.760635	10.322467	11.037866	10.269537
200042_at	8.810156	9.057523	9.341198	9.068587	8.680313	10.326425
200043_at	10.548779	11.013706	10.876933	11.450383	10.570432	10.968634
200044_at	9.173683	9.252241	9.56779	9.934588	9.832019	10.143574
200045_at	9.454942	9.190832	9.701398	9.515192	9.605062	9.499684
200046_at	9.060046	9.530678	9.960339	9.65511	8.976598	9.386255
200047_s_at	8.926942	9.206246	9.293985	9.320931	9.328401	9.373098
200048_s_at	10.848161	11.174346	11.505961	11.078583	11.367603	11.738118
200049_at	9.141474	8.319462	8.178253	8.436252	8.28999	8.575666
200050_at	8.174391	8.881866	8.926359	9.061169	9.418746	9.526664
200051_at	7.084858	8.187868	8.333873	7.918383	7.75881	7.724431
200052_s_at	8.206759	8.923448	10.101223	8.544361	9.45277	10.374262
200053_at	8.889081	8.97433	8.924446	9.044202	9.267442	8.955633
200054_at	7.294307	7.90494	8.625915	7.431767	7.514962	8.409908
200055_at	9.648223	10.123226	9.984556	9.837214	9.921955	9.783986
200056_s_at	5.739196	5.998224	6.903961	6.2422	6.381583	6.506939
200057_s_at	10.273174	11.307934	11.262539	11.174354	10.930407	11.440879
200058_s_at	9.780626	10.468721	10.452195	10.194382	10.343042	9.871394
200059_s_at	10.052606	10.473603	10.831311	10.490361	10.120515	11.468361
200060_s_at	9.525659	10.21023	9.776825	10.225561	10.56362	10.265475
200061_s_at	12.665775	12.466858	12.651145	12.806485	12.502155	12.408176
200062_s_at	12.686469	12.769139	12.599209	13.17491	12.909584	13.107337
200063_s_at	10.080437	11.129065	11.229667	11.427919	10.552521	10.639732
200064_at	11.371645	11.961315	12.025932	12.192767	12.004148	12.352592
