ABCA1	11352567,11476961,11476965,11700048,11719471,11752403,11785958,11809185,11855831,11861672,11893753,11929608,11940086,11950847,12009425,12032171,12054535,12084722,12093886,12111371,12151852,12176027,12196520,12204794,12226704,12235128,12359250,12426219,12477932,12509412,12511593,12535741,12700893,12706378,12709788,12730295,12763760,12804586,12813037,12860256,12869555,12870173,14986172,14993242,15024730,15033469,15066991,15102890,15135251,15140889,15158913,15163665,15201080,15218032,15262183,15280376,15288432,15292375,15297675,15340333,15358117,15358760,15469992,15492319,15500734,15520867,15528463,15817453,15829498,15851589,15890646,15905177,15930518,15935359,15951431,15952113,15958302,15961705,15983222,16009332,16030523,16055210,16080812,16086925,7766993,8088782,9006906,9731541,10092505,10431236,10431237,10431238,10525055,10533863,10535983,10706591,10799318,10884428,10938021,10970803,11086027,11238261,11257260,11257261,11279031,11349008,16192287,16192288,16192289,16192290,16192291,16192292,16207713,16226177,16235041,16254209,16313984,16343503,16410457,16418537,16429166,16443932,16446539,16456089,12551894,12562845,12576507,12600718,12600975,12615681,12624133,16725228,16730733,16763159,16770077,16806233,16806540,16825673,16855366,16870193,16873719,16879828,16901265,16902247,16928680,17001213,17020879,17070530,12928428,12952980,12966036,14559902,14560020,14570867,14576201,14644402,14660648,14668333,14681836,14701812,14701824,14701850,14702039,14734645,14747463,14754908,14767869,14962947,14967052,14967823,17550732,17553166,17556657,17608096,17656736,17689273,17690481,17700364,17855807,17923263,17951323,17992631,18003760,18097620,18164264,18199144,18220685,15528481,15574409,15649702,15657615,15696473,15721294,15774904,16118212,16120575,16126721,16157450,16166555,16192269,16192270,16192271,16192272,16192273,16192274,16192275,16192276,16192277,16192278,16192279,16192281,16192282,16192283,16192284,16192285,16192286,16497665,16500904,16505586,16542392,16596262,16702602,16709568,17076584,17082211,17113061,17121837,17135302,17135600,17196163,17241464,17268197,17287470,17324514,17335784,17368464,17372331,17383594,17407076,17412755,17430597,17510466,17510946,17510949,17521614
ABCA10	8894702,16094384,15489334,12821155,12477932,11435397
ABCA11	12477932,14702039
ABCA12	8894702,8845852,11435397,12697999,12915478,14702039,15756637,15980630,16007253,16902423,17508018,17591952,17611579,17927575,10094194
ABCA13	12697998,12477932,14702039
ABCA17P	16968533,14702039
ABCA2	1538749,12107413,12363033,12421765,12477932,12560508,15093135,15155565,15238223,15491607,15649702,15850583,15999530,16344560,16752360,17081983,7766993,8088782,10470851,10639163,10970803,11178988,11309290
ABCA3	8706931,9027511,16344560,16415354,16857811,16959783,16968533,17429902,17574245,17597647,17660803,11718719,11940594,12477932,15044640,15465012,15531465,15976379
ABCA4	17997789,18024811,18214793,9202155,9288089,9288113,9295268,9425888,9466990,9490294,9503029,9703434,9781034,9973280,10075733,10090887,10206579,10466724,10612508,10634594,10711710,10746567,10767284,10880298,10958761,10958763,11017087,11320094,11328725,11346402,11379881,11384574,11385708,11444963,11527935,11594993,11726554,11919200,11973624,12111378,12202497,12442277,12515255,12592048,12754711,12796258,12824224,12888572,15017103,15223829,15375613,15494742,15947798,16303926,16533065,16546111,16604398,16681420,16917483,17286855,8889548,9054934,9070931,17325136,17724221,17932850,17982420
ABCA5	8894702,11435397,11572484,12477932,12504089,14702039,17289887,17541169
ABCA6	8894702,10639163,11435397,11478798,12477932,14702039,15489334
ABCA7	10873640,11054552,11095984,11355874,11435699,12111378,12917409,12925201,14570867,14592415,14702039,15203218,15593299,15930518,16908670
ABCA8	8889548,10048485,11329013,12111378,12379217,12477932,14702039,15489334
ABCA9	12477932,14702039,15489334,8889549,8894702,11435397,12150964
