affy_Mouse430_2
Probe ID	Genbank Acc
1415933_a_at	NM_007747
1415934_at	AF482000
1415935_at	NM_022315
1415936_at	NM_013867
1415937_s_at	BC026823
1415938_at	NM_009258
1415939_at	NM_021355
1415940_at	NM_133349
1415941_s_at	NM_133349
1415942_at	NM_052835
1415943_at	BI788645
1415944_at	BI788645
1415945_at	NM_008566
1415946_at	NM_011822
1415947_at	BC027426
1415948_at	BC027426
1415949_at	BC010197
1415950_a_at	NM_018858
1415951_at	NM_010221
1415952_at	BI686265
1415953_s_at	BI686265
1415954_at	AB009661
1415955_x_at	K02926
1415956_a_at	NM_011049
1415957_a_at	AV297071
1415958_at	AB008453
1415959_at	AB008453
1415960_at	NM_010824
1415961_at	NM_022417
1415962_at	NM_080635
1415963_at	NM_019868
1415964_at	NM_009127
1415965_at	NM_009127
1415966_a_at	NM_133666
1415967_at	NM_133666
1415968_a_at	NM_010594
1415969_s_at	NM_010594
1415970_at	NM_053071
1415971_at	AW546141
1415972_at	AW546141
1415973_at	AW546141
1415974_at	AW553456
1415975_at	AU080787
1415976_a_at	AU080787
1415977_at	NM_023627
1415978_at	NM_023279
1415979_x_at	BC025909
1415980_at	NM_026468
1415981_at	AV258950
1415982_at	AV258950
1415983_at	NM_008879
1415984_at	NM_007382
1415985_at	NM_133953
1415986_at	NM_011334
1415987_at	BG065877
1415988_at	BG065877
1415989_at	BB250384
1415990_at	BC003731
1415991_a_at	NM_027910
1415992_at	NM_020035
1415993_at	NM_009270
1415994_at	NM_021282
1415995_at	NM_009811
1415996_at	AF173681
1415997_at	AF173681
1415998_at	NM_011694
1415999_at	NM_010423
1416000_a_at	NM_011034
1416001_a_at	NM_028071
1416002_x_at	NM_028071
1416003_at	NM_008770
1416004_at	NM_011738
1416005_at	NM_008947
1416006_at	M34328
1416007_at	AV172776
1416008_at	AV172776
1416009_at	NM_019793
1416010_a_at	NM_010119
1416011_x_at	NM_010119
1416012_at	NM_010119
1416013_at	NM_011116
1416014_at	NM_015751
1416015_s_at	NM_015751
1416016_at	AW048052
1416017_at	BC024686
1416018_at	NM_026106
1416019_at	NM_026106
1416020_a_at	NM_007506
1416021_a_at	BC002008
1416022_at	BC002008
1416023_at	NM_010174
1416024_x_at	NM_009836
1416025_at	NM_133862
1416026_a_at	NM_009076
1416027_at	NM_011051
1416028_a_at	NM_008258
1416029_at	NM_013692
1416030_a_at	NM_008568
1416031_s_at	NM_008568
1416032_at	AW494906
1416033_at	AW494906
1416034_at	NM_009846
1416035_at	BB269715
1416036_at	AF483488
1416037_a_at	NM_007636
1416038_at	NM_019776
1416039_x_at	NM_010516
1416040_at	NM_026334
1416041_at	NM_011361
1416042_s_at	BB493242
1416043_at	BB493242
1416044_at	NM_022009
1416045_a_at	NM_011418
1416046_a_at	BM054266
1416047_at	BM054266
1416048_at	NM_018774
1416049_at	NM_138595
1416050_a_at	NM_016741
1416051_at	NM_013484
1416052_at	AK011304
1416053_at	NM_008516
1416054_at	NM_009095
1416055_at	NM_009669
1416056_a_at	BC027265
1416057_at	BC027265
1416058_s_at	NM_020615
1416059_at	BC011160
1416060_at	BF577643
1416061_at	BF577643
1416062_at	BF577643
1416063_x_at	NM_023289
1416064_a_at	NM_022310
1416065_a_at	NM_133971
1416066_at	NM_007657
1416067_at	NM_013562
1416068_at	NM_053092
1416069_at	NM_019703
1416070_a_at	NM_025860
1416071_at	NM_025860
1416072_at	NM_133654
1416073_a_at	NM_008787
1416074_a_at	NM_009081
1416075_at	NM_022028
1416076_at	NM_007629
1416077_at	NM_009627
1416078_s_at	NM_029780
1416079_a_at	NM_019767
1416080_at	NM_009614
1416081_at	NM_008539
1416082_at	AW108405
1416083_at	AA124553
1416084_at	AA124553
1416085_s_at	AA124553
1416086_at	NM_009419
1416087_at	NM_007457
1416088_a_at	NM_009091
1416089_at	NM_009091
1416090_at	AK011810
1416091_at	BB000894
1416092_a_at	BB000894
1416093_a_at	NM_025570
1416094_at	NM_007404
1416095_x_at	NM_025364
1416096_at	NM_134044
1416097_at	NM_138682
1416098_at	NM_011522
1416099_at	NM_011289
1416100_at	NM_018749
1416101_a_at	NM_015786
1416102_at	AV027921
1416103_at	AV027921
1416104_at	NM_011900
1416105_at	BC008518
1416106_at	NM_029571
1416107_at	NM_008741
1416108_a_at	NM_025360
1416109_at	NM_024243
1416110_at	NM_026404
1416111_at	NM_009856
1416112_at	NM_007750
1416113_at	NM_010223
1416114_at	NM_010097
1416115_at	BF161073
1416116_at	BF161073
1416117_at	BF161073
1416118_at	NM_025863
1416119_at	NM_011660
1416120_at	NM_009104
1416121_at	M65143
1416122_at	NM_009829
1416123_at	NM_009829
1416124_at	NM_009829
1416125_at	U16959
1416126_at	NM_009086
1416127_a_at	NM_016878
1416128_at	NM_009448
1416129_at	NM_133753
1416130_at	BE630020
1416131_s_at	BB188557
1416132_at	BB188557
1416133_at	BB188557
1416134_at	NM_007467
1416135_at	NM_009687
1416136_at	NM_008610
1416137_at	BC008997
1416138_at	BC008997
1416139_at	NM_009043
1416140_a_at	NM_133347
1416141_a_at	NM_009096
1416142_at	NM_009096
1416143_at	NM_016755
1416144_a_at	BC003745
1416145_at	BC003745
1416146_at	BE912771
1416147_at	BE912771
1416148_at	BC019120
1416149_at	AB038696
1416150_a_at	NM_013663
1416151_at	NM_013663
1416152_a_at	NM_013663
1416153_at	NM_011899
1416154_at	NM_011899
1416155_at	NM_008253
1416156_at	NM_009502
1416157_at	NM_009502
1416158_at	AI463873
1416159_at	AI463873
1416160_at	AI463873
1416161_at	AF332085
1416162_at	AF332085
1416163_at	NM_012001
1416164_at	NM_011812
1416165_at	NM_133685
1416166_a_at	NM_016764
1416167_at	NM_016764
1416168_at	NM_011340
1416169_at	AY034576
1416170_at	NM_026508
1416171_at	NM_133714
1416172_at	BC004844
1416173_at	BC004844
1416174_at	BC011107
1416175_a_at	NM_011696
1416176_at	BF166000
1416177_at	NM_009033
1416178_a_at	NM_013746
1416179_a_at	NM_009041
1416180_a_at	NM_009041
1416181_at	NM_023403
1416182_at	NM_018758
1416183_a_at	NM_008492
1416184_s_at	NM_016660
1416185_a_at	NM_007410
1416186_at	NM_026383
1416187_s_at	NM_026383
1416188_at	BC004651
1416189_a_at	BC003707
1416190_a_at	BC003707
1416191_at	BC003707
1416192_at	BC004804
1416193_at	BC011223
1416194_at	NM_007823
1416195_at	NM_008916
1416196_at	NM_011029
1416197_at	NM_011432
1416198_at	NM_020580
1416199_at	NM_010631
1416200_at	NM_133775
1416201_at	BF020879
1416202_at	NM_007531
1416203_at	NM_007472
1416204_at	BC019391
1416205_at	NM_009752
1416206_at	D11374
1416207_at	NM_133682
1416208_at	BC005571
1416209_at	NM_008133
1416210_at	NM_133976
1416211_a_at	BC002064
1416212_at	NM_010760
1416213_x_at	BF122782
1416214_at	BC013094
1416215_at	NM_016810
1416216_at	NM_009048
